food_id,name,protein,fat,carbs,calories,fiber,sodium,sugar
319877,Hummus,NULL,19,NULL,NULL,NULL,NULL,NULL
319878,Hummus,NULL,NULL,NULL,NULL,NULL,446,NULL
319882,Hummus,NULL,18.7,NULL,NULL,NULL,NULL,NULL
319884,Hummus,NULL,NULL,NULL,NULL,NULL,444,NULL
319892,Hummus,NULL,16.6,NULL,NULL,NULL,NULL,NULL
319893,Hummus,NULL,NULL,NULL,NULL,NULL,387,NULL
319899,Hummus,NULL,19.1,NULL,NULL,NULL,NULL,NULL
319900,Hummus,NULL,NULL,NULL,NULL,NULL,489,NULL
319908,Hummus,NULL,18.2,NULL,NULL,NULL,NULL,NULL
319912,Hummus,NULL,NULL,NULL,NULL,NULL,428,NULL
319915,Hummus - NFY12140Q,NULL,NULL,NULL,NULL,5.7,NULL,NULL
319928,Hummus,NULL,18,NULL,NULL,NULL,NULL,NULL
319930,Hummus,NULL,NULL,NULL,NULL,NULL,406,NULL
319934,Hummus - NFY12141F,NULL,NULL,NULL,NULL,5.4,NULL,NULL
319946,Hummus,NULL,18.2,NULL,NULL,NULL,NULL,NULL
319948,Hummus,NULL,NULL,NULL,NULL,NULL,423,NULL
319951,Hummus - NFY1213ZX,NULL,NULL,NULL,NULL,5.5,NULL,NULL
319967,Hummus,NULL,14.8,NULL,NULL,NULL,NULL,NULL
319970,Hummus,NULL,NULL,NULL,NULL,NULL,450,NULL
319973,Hummus - NFY12143E,NULL,NULL,NULL,NULL,5.7,NULL,NULL
319981,Hummus,NULL,11.9,NULL,NULL,NULL,NULL,NULL
319983,Hummus,NULL,NULL,NULL,NULL,NULL,440,NULL
319993,Hummus,NULL,15.2,NULL,NULL,NULL,NULL,NULL
319996,Hummus,NULL,NULL,NULL,NULL,NULL,452,NULL
320000,Hummus - NFY12141Z,NULL,NULL,NULL,NULL,5.5,NULL,NULL
320013,Hummus,NULL,18.8,NULL,NULL,NULL,NULL,NULL
320015,Hummus,NULL,NULL,NULL,NULL,NULL,457,NULL
320018,Hummus - NFY12142O,NULL,NULL,NULL,NULL,4.9,NULL,NULL
320027,"MILK, 2% ",NULL,1.8,NULL,NULL,NULL,NULL,NULL
320033,"MILK, 2% ",NULL,1.91,NULL,NULL,NULL,NULL,NULL
320039,"MILK, 2% ",NULL,1.92,NULL,NULL,NULL,NULL,NULL
320047,"MILK, 2% ",NULL,1.92,NULL,NULL,NULL,NULL,NULL
320050,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,42,NULL
320066,"MILK, 2% ",NULL,1.91,NULL,NULL,NULL,NULL,NULL
320072,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,36,NULL
320089,"MILK, 2% ",NULL,1.97,NULL,NULL,NULL,NULL,NULL
320092,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,38,NULL
320108,"MILK, 2% ",NULL,1.87,NULL,NULL,NULL,NULL,NULL
320111,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,46,NULL
320128,"MILK, 2% ",NULL,1.85,NULL,NULL,NULL,NULL,NULL
320131,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,41,NULL
320147,"MILK, 2% ",NULL,2.06,NULL,NULL,NULL,NULL,NULL
320153,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,37,NULL
320167,"MILK, 2% ",NULL,1.9,NULL,NULL,NULL,NULL,NULL
320174,"MILK, 2% ",NULL,1.9,NULL,NULL,NULL,NULL,NULL
320181,"MILK, 2% ",NULL,1.97,NULL,NULL,NULL,NULL,NULL
320187,"MILK, 2% ",NULL,1.96,NULL,NULL,NULL,NULL,NULL
320193,"MILK, 2% ",NULL,1.87,NULL,NULL,NULL,NULL,NULL
320199,"MILK, 2% ",NULL,1.92,NULL,NULL,NULL,NULL,NULL
320205,"MILK, 2% ",NULL,1.81,NULL,NULL,NULL,NULL,NULL
320214,"MILK, 2% ",NULL,1.68,NULL,NULL,NULL,NULL,NULL
320217,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,37,NULL
320234,"MILK, 2% ",NULL,1.87,NULL,NULL,NULL,NULL,NULL
320240,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,37,NULL
320257,"MILK, 2% ",NULL,1.81,NULL,NULL,NULL,NULL,NULL
320263,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,38,NULL
320279,"MILK, 2% ",NULL,1.93,NULL,NULL,NULL,NULL,NULL
320285,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,38,NULL
320300,"MILK, 2% ",NULL,1.97,NULL,NULL,NULL,NULL,NULL
320309,"MILK, 2% ",NULL,1.94,NULL,NULL,NULL,NULL,NULL
320317,"MILK, 2% ",NULL,1.92,NULL,NULL,NULL,NULL,NULL
320320,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,38,NULL
320336,"MILK, 2% ",NULL,1.97,NULL,NULL,NULL,NULL,NULL
320339,"MILK, 2% ",NULL,NULL,NULL,NULL,NULL,39,NULL
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",23.4,3.46,NULL,NULL,NULL,NULL,NULL
320381,"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",NULL,NULL,NULL,NULL,NULL,50,NULL
320383,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 10, select",23.9,1.91,NULL,NULL,NULL,NULL,NULL
320389,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 11, select",23.5,2.81,NULL,NULL,NULL,NULL,NULL
320391,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 16, select",23.8,2.07,NULL,NULL,NULL,NULL,NULL
320393,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 17, select",23.8,3.3,NULL,NULL,NULL,NULL,NULL
320395,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 18, select",24,2.24,NULL,NULL,NULL,NULL,NULL
320401,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 22, select",23.9,3.01,NULL,NULL,NULL,NULL,NULL
320403,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 23, select",23.3,3.45,NULL,NULL,NULL,NULL,NULL
320405,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 28, select",22.9,1.98,NULL,NULL,NULL,NULL,NULL
320407,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 29, select",23.3,2.27,NULL,NULL,NULL,NULL,NULL
320409,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 35, select",22.7,1.47,NULL,NULL,NULL,NULL,NULL
320411,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 36, select",22.6,1.74,NULL,NULL,NULL,NULL,NULL
320448,"TOMATOES, GRAPE",NULL,0.7,NULL,NULL,NULL,NULL,NULL
320450,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,6,NULL
320456,"TOMATOES, GRAPE",NULL,0.6,NULL,NULL,NULL,NULL,NULL
320457,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,2.2,NULL,NULL
320459,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,4,NULL
320465,"TOMATOES, GRAPE",NULL,0.5,NULL,NULL,NULL,NULL,NULL
320466,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,1.9,NULL,NULL
320469,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,5,NULL
320483,"TOMATOES, GRAPE",NULL,0.46,NULL,NULL,NULL,NULL,NULL
320484,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,7,NULL
320502,"TOMATOES, GRAPE",NULL,0.82,NULL,NULL,NULL,NULL,NULL
320503,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,3,NULL
320517,"TOMATOES, GRAPE",NULL,0.69,NULL,NULL,NULL,NULL,NULL
320518,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,2.2,NULL,NULL
320521,"TOMATOES, GRAPE",NULL,NULL,NULL,NULL,NULL,10,NULL
321358,"Hummus, commercial",7.35,17.1,14.9,229,5.4,438,NULL
321359,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",3.35,1.9,4.91,50,NULL,39,NULL
321360,"Tomatoes, grape, raw",0.83,0.63,5.51,27,2.1,6,NULL
321365,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37200,NULL
321371,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38900,NULL
321377,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38100,NULL
321383,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37300,NULL
321388,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38600,NULL
321393,Salt; iodized,NULL,NULL,NULL,NULL,NULL,37700,NULL
321398,Salt; iodized,NULL,NULL,NULL,NULL,NULL,40100,NULL
321404,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38400,NULL
321410,Salt; iodized,NULL,NULL,NULL,NULL,NULL,39500,NULL
321416,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38100,NULL
321421,Salt; iodized,NULL,NULL,NULL,NULL,NULL,38300,NULL
